Student ID,Subject Grade,Study Hours per Day,Lecture Attendance,Assignment Completion on Time,CGPA / GPA,Note-Taking Method,Study Schedule,Best Study Method
176,B,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,Studying alone (self-study)
177,C+,1 - 2 hours,Sometimes(50 - 74%),Often (75 - 99%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,Studying in groups
178,A-,2 - 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
179,B-,1 - 2 hours,Often (75 - 99%),Sometimes (50 - 74%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Attending revision classes or extra tutorials
180,C,Less than 1 hour,Rarely (25 - 49%),Rarely (25 - 49%),2.0 – 2.5,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
181,A,2 - 4 hours,Always(100%),Always (100%),3.0 – 3.5,I mostly take my own notes,I usually follow a schedule but adjust it occasionally,Studying alone (self-study)
182,B+,2 - 4 hours,Often (75 - 99%),Always (100%),Above 3.5,I take notes and refer to slides equally,I always follow a fixed study schedule,Practicing with past papers or questions
183,C-,1 - 2 hours,Sometimes(50 - 74%),Often (75 - 99%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,"Using online resources (e.g., YouTube, MOOCs)"
184,B,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,Studying in groups
185,A-,more than 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
186,Below C-,Less than 1 hour,Very rarely (1 - 24%),Sometimes (50 - 74%),Below 2.0,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
187,C+,1 - 2 hours,Often (75 - 99%),Sometimes (50 - 74%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,Reading class slides and textbooks only
188,B-,2 - 4 hours,Often (75 - 99%),Often (75 - 99%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Studying alone (self-study)
189,A,2 - 4 hours,Always(100%),Always (100%),3.0 – 3.5,I mostly take my own notes,I usually follow a schedule but adjust it occasionally,Practicing with past papers or questions
190,C,Less than 1 hour,Sometimes(50 - 74%),Sometimes (50 - 74%),2.0 – 2.5,I mostly rely on class slides,I study randomly most of the time,"Using online resources (e.g., YouTube, MOOCs)"
191,B,1 - 2 hours,Sometimes(50 - 74%),Often (75 - 99%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Studying in groups
192,A,2 - 4 hours,Often (75 - 99%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Attending revision classes or extra tutorials
193,B+,2 - 4 hours,Always(100%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,Studying alone (self-study)
194,C-,Less than 1 hour,Rarely (25 - 49%),Sometimes (50 - 74%),2.5 – 3.0,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
195,A-,more than 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
196,B,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I study randomly most of the time,Studying alone (self-study)
197,C+,1 - 2 hours,Sometimes(50 - 74%),Sometimes (50 - 74%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,"Using online resources (e.g., YouTube, MOOCs)"
198,Below C-,Less than 1 hour,Very rarely (1 - 24%),Rarely (25 - 49%),2.0 – 2.5,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
199,A,2 - 4 hours,Always(100%),Always (100%),3.0 – 3.5,I mostly take my own notes,I usually follow a schedule but adjust it occasionally,Practicing with past papers or questions
200,B-,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Studying in groups
201,A-,2 - 4 hours,Often (75 - 99%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Studying alone (self-study)
202,C,1 - 2 hours,Rarely (25 - 49%),Sometimes (50 - 74%),2.0 – 2.5,I mostly rely on class slides,I study randomly most of the time,Reading class slides and textbooks only
203,B+,2 - 4 hours,Always(100%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,"Using online resources (e.g., YouTube, MOOCs)"
204,C-,Less than 1 hour,Sometimes(50 - 74%),Sometimes (50 - 74%),2.5 – 3.0,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
205,A,more than 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
206,B,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,Studying alone (self-study)
207,C+,1 - 2 hours,Sometimes(50 - 74%),Often (75 - 99%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,Studying in groups
208,A-,2 - 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
209,B-,1 - 2 hours,Often (75 - 99%),Sometimes (50 - 74%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Attending revision classes or extra tutorials
210,C,Less than 1 hour,Rarely (25 - 49%),Rarely (25 - 49%),2.0 – 2.5,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
211,A,2 - 4 hours,Always(100%),Always (100%),3.0 – 3.5,I mostly take my own notes,I usually follow a schedule but adjust it occasionally,Studying alone (self-study)
212,B+,2 - 4 hours,Often (75 - 99%),Always (100%),Above 3.5,I take notes and refer to slides equally,I always follow a fixed study schedule,Practicing with past papers or questions
213,C-,1 - 2 hours,Sometimes(50 - 74%),Often (75 - 99%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,"Using online resources (e.g., YouTube, MOOCs)"
214,B,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,Studying in groups
215,A-,more than 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
216,Below C-,Less than 1 hour,Very rarely (1 - 24%),Sometimes (50 - 74%),Below 2.0,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
217,C+,1 - 2 hours,Often (75 - 99%),Sometimes (50 - 74%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,Reading class slides and textbooks only
218,B-,2 - 4 hours,Often (75 - 99%),Often (75 - 99%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Studying alone (self-study)
219,A,2 - 4 hours,Always(100%),Always (100%),3.0 – 3.5,I mostly take my own notes,I usually follow a schedule but adjust it occasionally,Practicing with past papers or questions
220,C,Less than 1 hour,Sometimes(50 - 74%),Sometimes (50 - 74%),2.0 – 2.5,I mostly rely on class slides,I study randomly most of the time,"Using online resources (e.g., YouTube, MOOCs)"
221,B,1 - 2 hours,Sometimes(50 - 74%),Often (75 - 99%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Studying in groups
222,A+,more than 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
223,C-,Less than 1 hour,Rarely (25 - 49%),Rarely (25 - 49%),2.0 – 2.5,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
224,B,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,Studying in groups
225,A-,2 - 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Studying alone (self-study)
226,Below C-,Less than 1 hour,Never(0%),Rarely (25 - 49%),Below 2.0,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
227,C+,1 - 2 hours,Often (75 - 99%),Sometimes (50 - 74%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,Reading class slides and textbooks only
228,B,2 - 4 hours,Often (75 - 99%),Often (75 - 99%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Studying alone (self-study)
229,A,2 - 4 hours,Always(100%),Always (100%),3.0 – 3.5,I mostly take my own notes,I usually follow a schedule but adjust it occasionally,Practicing with past papers or questions
230,C,Less than 1 hour,Sometimes(50 - 74%),Sometimes (50 - 74%),2.0 – 2.5,I mostly rely on class slides,I study randomly most of the time,"Using online resources (e.g., YouTube, MOOCs)"
231,B-,1 - 2 hours,Sometimes(50 - 74%),Often (75 - 99%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Studying in groups
232,A-,2 - 4 hours,Often (75 - 99%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Attending revision classes or extra tutorials
233,B+,2 - 4 hours,Always(100%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,Studying alone (self-study)
234,C-,Less than 1 hour,Rarely (25 - 49%),Sometimes (50 - 74%),2.5 – 3.0,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
235,A,more than 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
236,B,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I study randomly most of the time,Studying alone (self-study)
237,C+,1 - 2 hours,Sometimes(50 - 74%),Sometimes (50 - 74%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,"Using online resources (e.g., YouTube, MOOCs)"
238,Below C-,Less than 1 hour,Very rarely (1 - 24%),Rarely (25 - 49%),2.0 – 2.5,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
239,A-,2 - 4 hours,Always(100%),Always (100%),3.0 – 3.5,I mostly take my own notes,I usually follow a schedule but adjust it occasionally,Practicing with past papers or questions
240,B-,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Studying in groups
241,A,2 - 4 hours,Often (75 - 99%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Studying alone (self-study)
242,C,1 - 2 hours,Rarely (25 - 49%),Sometimes (50 - 74%),2.0 – 2.5,I mostly rely on class slides,I study randomly most of the time,Reading class slides and textbooks only
243,B+,2 - 4 hours,Always(100%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,"Using online resources (e.g., YouTube, MOOCs)"
244,C-,Less than 1 hour,Sometimes(50 - 74%),Sometimes (50 - 74%),2.5 – 3.0,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
245,A,more than 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
246,B,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,Studying alone (self-study)
247,C+,1 - 2 hours,Sometimes(50 - 74%),Often (75 - 99%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,Studying in groups
248,A-,2 - 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
249,B-,1 - 2 hours,Often (75 - 99%),Sometimes (50 - 74%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Attending revision classes or extra tutorials
250,C,Less than 1 hour,Rarely (25 - 49%),Rarely (25 - 49%),2.0 – 2.5,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
251,A,2 - 4 hours,Always(100%),Always (100%),3.0 – 3.5,I mostly take my own notes,I usually follow a schedule but adjust it occasionally,Studying alone (self-study)
252,B+,2 - 4 hours,Often (75 - 99%),Always (100%),Above 3.5,I take notes and refer to slides equally,I always follow a fixed study schedule,Practicing with past papers or questions
253,C-,1 - 2 hours,Sometimes(50 - 74%),Often (75 - 99%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,"Using online resources (e.g., YouTube, MOOCs)"
254,B,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,Studying in groups
255,A-,more than 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
256,Below C-,Less than 1 hour,Very rarely (1 - 24%),Sometimes (50 - 74%),Below 2.0,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
257,C+,1 - 2 hours,Often (75 - 99%),Sometimes (50 - 74%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,Reading class slides and textbooks only
258,B-,2 - 4 hours,Often (75 - 99%),Often (75 - 99%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Studying alone (self-study)
259,A,2 - 4 hours,Always(100%),Always (100%),3.0 – 3.5,I mostly take my own notes,I usually follow a schedule but adjust it occasionally,Practicing with past papers or questions
260,C,Less than 1 hour,Sometimes(50 - 74%),Sometimes (50 - 74%),2.0 – 2.5,I mostly rely on class slides,I study randomly most of the time,"Using online resources (e.g., YouTube, MOOCs)"
261,B,1 - 2 hours,Sometimes(50 - 74%),Often (75 - 99%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Studying in groups
262,A,2 - 4 hours,Often (75 - 99%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Attending revision classes or extra tutorials
263,B+,2 - 4 hours,Always(100%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,Studying alone (self-study)
264,C-,Less than 1 hour,Rarely (25 - 49%),Sometimes (50 - 74%),2.5 – 3.0,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
265,A-,more than 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
266,B,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I study randomly most of the time,Studying alone (self-study)
267,C+,1 - 2 hours,Sometimes(50 - 74%),Sometimes (50 - 74%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,"Using online resources (e.g., YouTube, MOOCs)"
268,Below C-,Less than 1 hour,Very rarely (1 - 24%),Rarely (25 - 49%),2.0 – 2.5,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
269,A,2 - 4 hours,Always(100%),Always (100%),3.0 – 3.5,I mostly take my own notes,I usually follow a schedule but adjust it occasionally,Practicing with past papers or questions
270,B-,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Studying in groups
271,A-,2 - 4 hours,Often (75 - 99%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Studying alone (self-study)
272,C,1 - 2 hours,Rarely (25 - 49%),Sometimes (50 - 74%),2.0 – 2.5,I mostly rely on class slides,I study randomly most of the time,Reading class slides and textbooks only
273,B+,2 - 4 hours,Always(100%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,"Using online resources (e.g., YouTube, MOOCs)"
274,C-,Less than 1 hour,Sometimes(50 - 74%),Sometimes (50 - 74%),2.5 – 3.0,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
275,A+,more than 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
276,B,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,Studying alone (self-study)
277,C+,1 - 2 hours,Sometimes(50 - 74%),Often (75 - 99%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,Studying in groups
278,A-,2 - 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
279,B-,1 - 2 hours,Often (75 - 99%),Sometimes (50 - 74%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Attending revision classes or extra tutorials
280,C,Less than 1 hour,Rarely (25 - 49%),Rarely (25 - 49%),2.0 – 2.5,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
281,A,2 - 4 hours,Always(100%),Always (100%),3.0 – 3.5,I mostly take my own notes,I usually follow a schedule but adjust it occasionally,Studying alone (self-study)
282,B+,2 - 4 hours,Often (75 - 99%),Always (100%),Above 3.5,I take notes and refer to slides equally,I always follow a fixed study schedule,Practicing with past papers or questions
283,C-,1 - 2 hours,Sometimes(50 - 74%),Often (75 - 99%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,"Using online resources (e.g., YouTube, MOOCs)"
284,B,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,Studying in groups
285,A-,more than 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
286,Below C-,Less than 1 hour,Very rarely (1 - 24%),Sometimes (50 - 74%),Below 2.0,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
287,C+,1 - 2 hours,Often (75 - 99%),Sometimes (50 - 74%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,Reading class slides and textbooks only
288,B-,2 - 4 hours,Often (75 - 99%),Often (75 - 99%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Studying alone (self-study)
289,A,2 - 4 hours,Always(100%),Always (100%),3.0 – 3.5,I mostly take my own notes,I usually follow a schedule but adjust it occasionally,Practicing with past papers or questions
290,C,Less than 1 hour,Sometimes(50 - 74%),Sometimes (50 - 74%),2.0 – 2.5,I mostly rely on class slides,I study randomly most of the time,"Using online resources (e.g., YouTube, MOOCs)"
291,B,1 - 2 hours,Sometimes(50 - 74%),Often (75 - 99%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Studying in groups
292,A,2 - 4 hours,Often (75 - 99%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Attending revision classes or extra tutorials
293,B+,2 - 4 hours,Always(100%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,Studying alone (self-study)
294,C-,Less than 1 hour,Rarely (25 - 49%),Sometimes (50 - 74%),2.5 – 3.0,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
295,A-,more than 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
296,B,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I study randomly most of the time,Studying alone (self-study)
297,C+,1 - 2 hours,Sometimes(50 - 74%),Sometimes (50 - 74%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,"Using online resources (e.g., YouTube, MOOCs)"
298,Below C-,Less than 1 hour,Very rarely (1 - 24%),Rarely (25 - 49%),2.0 – 2.5,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
299,A,2 - 4 hours,Always(100%),Always (100%),3.0 – 3.5,I mostly take my own notes,I usually follow a schedule but adjust it occasionally,Practicing with past papers or questions
300,B-,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Studying in groups
